movie,sentence,score
탑건: 매버릭,우와 위플래쉬 배우였다니 미친. 4D로 처음봤는대 보청기 날아갈 뻔진짜 재밌었고 중간에 울컥했음. 이렇게 좋은 문화생활을 할수 있다는게 갑자기 울컥하면서 행복했음. 행복 별거 아니구나,10
봄날,OO은 아버지 밑에 애들이 불쌍합니다 미화핮마세요,10
마녀(魔女) Part2. The Other One,주인공들이 너무 전지전능해진거같아 가히 신급이야 암튼 재밌게 봤네요 이런류 좋아하거든,9
매드맥스: 분노의 도로,미래????NOW!!!!,10
탑건: 매버릭,진짜 여운이 오래 남는다. 최근 몇년중에 가장 재미있게 봤다.,10
우리 의사 선생님,당뇨를 감기처럼 여기는 의사보다 이노같은 의사가 우리에게 필요할지도...,8
씨 비스트,어른이 봐도 재밌어요,10
굿 윌 헌팅,10점보다 높은 11점 드립니다.,1
헤어질 결심,모레가 파도에 휩쓸려 붕괴되듯,10
탑건: 매버릭,인생영화뭐하나 빠지는게 없는 영화..,10
탑건: 매버릭,단 한마디로 정리 가능하다. 미쳤다.,10
빅샤크4 : 바다공룡 대모험,너무 수준 낮은 영화. 이 영화를 재밌다고 하는 사람은 알바거나 본인 수준이 낮다는걸 스스로 인정하는 꼴,1
탑건: 매버릭,최고 말이 필요없음~탐크루즈 멋잇어요,10
탑건: 매버릭,2번 봤는데 2번 봐도 재밌습니다,10
더 킬러: 죽어도 되는 아이,"장혁배우, 명량소녀성공기 때부터 좋아했었는데 영화로 액션연출한거 보니까 정말 대단하신것같아요 얼마나 피나는 노력과 고생을 했을지.. 액션감동이에용 >_< 영화 잘봤어요 감사해요^^",10
헤어질 결심,불륜이 팬시하게 다뤄지는 것은 마음에 들지 않았지만 그 경솔함조차 사랑의 한 속성이라는 생각이 들었다,8
마녀(魔女) Part2. The Other One,액션만 볼만함 10점은 박훈정이라 줌,10
메모리,"""난 오랫동안 나쁜 놈이었소. 하지만 그놈들은 벌을 받아야 하오.""에서 알 수 있는 리암 니슨의 안티히어로적 모습이 압권이었음. 자신이 킬러임을 잊이 않으면서도 정의를 찾아가는 것이 이제까지의 리암 니슨 영화에서는 볼 수 없었던 모습이어서  좋았던 영화!",10
토르: 러브 앤 썬더,그냥 기대안하고 보면 볼만한 오락영화,8
메모리,"가이 피어스의 FBI 요원 연기가 특출난 영화! 특히 ""수사를 접는다고 없어지진 않아요""에서 알 수 있는 그의 투철한 직업의식이 뛰어났음.",10
탑건: 매버릭,너무 재밌었어요 정말 영화관에서 잘 본 것 같아요,10
탑건: 매버릭,영화보는 동안 뜨거운 눈문 4번흘렸습니다..존경합니다 탑건 매버릭다시보고싶은 명작에가까운 영화!!,8
명탐정 코난: 할로윈의 신부,지금까지 역대급 극장판이네요!!,10
탑건: 매버릭,요근래 몇년간 영화관에서 본 영화중에 제일 재밌었음10점 잘안주는데 이건 10점도 모자라다,10
탑건: 매버릭,최고 시원한 영화 !!! 손땀나는영화 !!톰크루즈 최고고 재밌게봤어요 감동도ㅠㅠㅠ탑건1있는지도 모르고 봤는데 잼씀 꼭봐야함,10
프랙처드,아빠놈이 처음 시작 운전부터 개노답이네. 하는 짓마다 개답답 노답이고...어휴,3
립반윙클의 신부,쿠로키 하루의 리즈 시절 ^^,10
탑건: 매버릭,감동& 슬픈영화  눈물이 주르륵,10
마녀(魔女) Part2. The Other One,"하도 평점이 낮아서 기대없이 봤는데,  꽤 볼만했음.  이렇게 벌려놓은 스토리를 어떻게 마무리할런지 3편 내용도 궁금해짐.",9
토르: 러브 앤 썬더,주변에서 평이 너무 안 좋아서 일찌감치 기대치 최대로 낮추고 보러 갔다 옴. 그냥 저냥 실실한 유머 좀 있고 개인적으로는 킬링 타임으로는 적당했다고 봤어요! 마이티 토르가 너무 뜬금없이 나와서 급 퇴장한 감이 없지 않아 있지만 뭐 역대급 쓰레기 망작 소리를 들을 정도의 영화는 절대 아니라고 봅니다.,7
탑건: 매버릭,최고의 영화였기에 후회가 없습니다.,10
탑건: 매버릭,"탑건이 탑건했고, 톰 크루즈는 역시나 잘생겼다.",10
탑건: 매버릭,"간만에 영화 정말 재미있게 본거 같아요4D로 봐서 그런지 더 스펙터클하고 너무 감동이라 영화 끝에는 눈물까지 흘렸습니다탐 크루즈 세월은 흘렀지만 여전히 너무 멋있더군요. 재미, 교훈, 감동 만점! ""이것이 영화다""",10
레지던트 이블: 라쿤시티,솔찍히 괜찮았는데 최고의 상남자 레온을 개OO으로 만들어놨네 ㅋㅋㅋ,8
씨 비스트,주인공의 칼이 무기가 아니라 누군가를 살리는 도구로 사용했다는 점이 인상적,7
토르: 러브 앤 썬더,"솔직히 처음에는 별로 재미없다고 느꼈는데, 뒤로 가면 갈수록 재미있어요처음 마이티 토르 나왔을 때, 너무 억지스럽지 않나 .... 싶었는데그냥 이해하고 받아드리면서 보니까 나중에 다 끝날 때 즈음 눈가에 눈물... 주륵...",9
토르: 러브 앤 썬더,역시 액션은 말할 필요 없고 영상미가 좋아요,8
탑건: 매버릭,극장가서 보면 안다최고~♡,10
사랑에 대한 모든 것,평점이 너무 낮네ㅜ 에디레드메인 최고,10
탑건: 매버릭,탑건 5번 봤습니다.. 무조건 영화관 가서 보시길.. 더 보고 싶어ㅠㅠ 스크린X 강추요,10
토르: 러브 앤 썬더,토르의 험난한 인생을 즐겁게 너무 잘표현한거같습니다! 감동감동,10
버즈 라이트이어,오랜만에 느껴보는 동심의 세계! 너무 재밌게 봤습니다,10
탑건: 매버릭,네이버 평점 처음해봅니다.. 10점 만점.... 눈물콱 처음으로 영화관 에서 2번 본영화,10
탑건: 매버릭,재밌게봤어요 모든게 다 완벽했던 영화,10
탑건: 매버릭,조온나 재미있었음 만점!!,10
헤어질 결심,어른들의 멜로라는 타이틀이 참 잘 어울리네요.,10
더 킬러: 죽어도 되는 아이,감독의 의도는 뭐였을까? 차라리 코믹으로 가지.. 그나저나 대길이톤에서 못벗어나네 진짜ㅠㅠ,2
마녀(魔女) Part2. The Other One,너무기대했나봐요 신랑보고 그만보자고 말이 목구멍까지 왔는데 신랑 자길래 걍 냅뒀어요.. 3편을 위해 만든 영화같았고 내용도 탄탄하지않고 필요없는 장면들이 긴편이고 더 살려주고 길었으면하는 장면들은 엄청 빠르고 속전속결로 느껴졌습니다 영화보고 이게 뭐야 라는 느낌은 오랜만에 받았네요,4
토르: 러브 앤 썬더,전작부터 좀 전개가 이상해진다 싶었는데.. 참 아재 개그같지도 않은 유머 코드에 흐름도 다 끊기고.. 실망입니다,2
